Nizaviguiti,English Translation,Comment
kəʔə,35_hand,
anaʔah,7_left,
aʔoj,6_right,
puʔuj,39_leg,
joʔoj,140_walk,
tuʔu,105_roadpath,
haʔahtm,139_come,<haʔaht-m come-GR 'comes'
həmbit,146_turn,
nəjaʔo,148_swim,<nə-jaʔo water-swim
puʔutʲ,127_dirty,
naʃhok,82_dust,
nəʔak,42_skin,<nə-ʔak POSS1-skin 'my skin'
həʔəʃk,38_back,
moʃ,43_belly,
pahk,41_bone,
tintʲ,44_intestines,
maʔats,46_liver,
tsitsk,45_breast,
kakna,36_shoulder,
eʃpek,167_know,
hangʲuk,168_think,
tsəʔəkp,182_fear,
nepɲ,40_blood,
kuwahk,27_head,
jokt,37_neck,
kuwaj,28_hair,<ku-waj head-hair
həhp,30_nose,
ʃah,184_breathe,
ʃuʔuk,166_sniffsmell,
aʔaw,32_mouth,
təts,34_tooth,
ijan,33_tongue,
ʃiʔik,169_laugh,
həʔəj,170_cry,
əʔəts,185_vomit,
tsuh,158_spit,
kaj,153_eat,
puj,152_chew,
jahjoʔojəm tookʃ,196_cook,<jah-joʔoj-əm tookʃ CAUS-prepare-GR food
uʔuk,154_drink,
tsuʔuts,155_bite,
tsiʔits,156_suck,
tatsk,31_ear,
mədoʔop,165_hear,<mədoʔo-p hear-GR 'hears'
windəkʃp,29_eye,
miiʃp,164_see,<miiʃ-p see-GR 'sees'
oh,157_yawn,
maw,160_sleep,
najgʲoʔok,145_liedown,
kumaʔap,159_dream,
poʔokʃ,143_sit,
tan,142_stand,
haʔaj,60_person,
jatʲəhk,61_man,
toʔoʃʲ,62_woman,
nakoŋ,63_child,
maʔaməh,67_husband,
nedoʔoxʲ,68_wife,<ne-toʔoxʲ 1POSS-woman 'my woman'
naʔan,65_mother,
ndat,66_father,<n-tat 1POSS-father 'my father'
təhk,102_house,
məʔəj,101_thatchroof,
hajʃʲəʔəw,64_name,<haj-j-ʃəʔəw ?-3POSS-name 'his name?'
kapʃp,189_say,<kapʃ-p say-GR 'says'
paʔam,103_rope,
tsaʔe,186_tieup,
ʃuj,174_sew,
ʃuʔuɲ,104_needle,
ʃomʲaʔoʔokm,180_hunt,<ʃomʲa-ʔoʔok-m ?-die-GR
tuhum,197_shoot,<tuh-um shoot-GR 'shoots'
tsuʔunkoʔom,191_stab,
wohpm,176_hit,<wohp-m hit-GR 'hits'
maʔatsəm,193_steal,<maʔats-əm steal-GR 'steals'
njaoʔokm,163_kill,<n-ja-oʔok-m 1A?-CAUS?-die-GR 'I kill?'
paʔoʔokəp,162_die,<pa-ʔoʔok-əp ?-die-GR 'dies'
higʲahtən,161_live,
wimoʔots,190_scratch,
puʃ,177_cut,
,98_wood,
najakʃm,178_split,<najakʃ-m split-GR 'splits'
həhp,119_sharp,
tihewkuʔupənt,120_bluntdull,
tuʔunəm,198_work,<tuʔun-əm work-GR 'works'
kohəm,195_plant,<koh-əm plat-GR 'plants'
wiwew,194_choose,
jaʔkp,141_grow,<jaʔk-p grow-GR 'grows'
kiʃp,188_swell,
wimaʔats,187_squeeze,
mamgəʔə,181_hold,
tah,179_dig,
huj,192_buy,
jawaʔats,199_open,<ja-waʔats CAUS-open
kaʔap,175_pound,
kuh,150_throw,
kaʔap,144_fall,
uk,47_dog,
juhkuŋ,48_bird,
ʃuntsaʔa,56_egg,
pəhk,59_feather,
kaʔaknə,58_wing,
tenjehkʃʲ,149_flyverb,
tsuk,53_rat,
tsuʔutʲ,90_meatflesh,
on,92_fatgrease,
piʔiʃʲ,57_tail,
tsaʔaɲ,50_snake,
tenəʔək,51_worm,
aʔatk,52_louse,
tsukts,55_mosquito,
tsaʔakʃ,54_spider,
akʔ,49_fish,
tiʔiʔohʲ,128_rotten,
ʃan,96_branch,
uhtsʔaʔaj,97_leaf,
aʔats,95_root,
pəhʲ ,100_flower,
uʃtsaʔam,93_fruit,
uhts,99_grass,
naʃ,81_earthsoil,
tsaʔa,80_stone,
puʔu,83_sand,
nəʔə,74_water,
pəjəkp,173_flow,
meh,76_sea,
kaʔan,91_salt,
kopk,94_woodsforest,
tsahp,73_sky,
poʔo,71_moon,
məʣaʔa,72_star,
nəmaʔa,85_cloud,
ʃuʃ,87_fog,
tuʔuw,84_rain,
kəməʔəmp,88_thunder,
wiʣuk,89_lightning,
poh,86_wind,
ʃahp,171_blow,
aʔambəhkp,133_warm,
ʃuhʃp,134_cold,
təʔətsp,135_dry,
ʃoktaʔaɲ,136_wet,
hemtʲ,130_heavy,
kəjahpən,77_fire,
tsaʔem,172_burn,
hohkp,78_smoke,
haʔam,79_ash,
jək,106_black,
poʔop,107_white,
tsapts,108_red,
puts,110_yellow,
tsuʃk,109_green,
muʔutsk,112_small,
məh,111_big,
naʔaʃʲpʲ,114_short,
jeɲ,113_long,
pehʲ,116_thin,
nekʃ,115_thick,
ʃuʔuts,117_narrow,
məhwin,118_wide,
adoʔomp,123_painfulsick,
tsəʔəkp,121_shyashamed,
aməh,122_old,
hen,137_new,
►,124_good,
►,125_bad,
►,126_correcttrue,
►,70_night,
►,69_day,
►,5_year,
►,18_when,
►,151_hide,
►,147_climb,
►,26_at,
►,25_ininside,
►,23_above,
►,24_below,
►,20_this,
►,21_that,
►,132_near,
►,131_far,
►,17_where,
►,8_i,
►,11_yousg,
►,12_heshe,
►,10_weallincl,
►,13_theyall,
►,15_what,
►,16_who,
►,138_other,
►,129_all,
►,22_and,
►,19_how,
►,14_nonot,
►,183_count,
►,1_one,
►,2_two,
►,3_three,
►,4_four,
