Guichicovi,English Translation,Comment
kəʔə,35_hand,
puʔuj,39_leg,
joʔoj,140_walk,
tuʔu,105_roadpath,
koʔop,139_come,
jahwombit,146_turn,<jah-wombit CAUS-turn
jaʔap,148_swim,
teeʔk,127_dirty,
naʃoʔotʲ,82_dust,
nʔikʃ,42_skin,<n-ʔikʃ 1POSS-skin 'my skin'
həʔəʃk,38_back,
hoʔot,43_belly,
pahk,41_bone,
tiʔintʲ,44_intestines,
hoʔot,46_liver,
tsiʔitsk,45_breast,
həʃkjok,36_shoulder,
hahp,167_know,
tahmaj,168_think,
təgəʔəp,182_fear,<təgəʔə-p fear-GR 'fears'
nəʔətʲ,40_blood,
koʔopk,27_head,
joʔot,37_neck,
kuwaʔaj►,28_hair,<ku-waʔaj head-hair
həmput,30_nose,
ʃehp,184_breathe,
ʃuʔup,166_sniffsmell,
aʔaw,32_mouth,
təʔəts,34_tooth,
toʔots,33_tongue,
ʃiʔikp,169_laugh,<ʃiʔik-p laugh-GR 
həʔəpʲ,170_cry,
əʔətsp,185_vomit,<əʔəts-p vomit_GR
tsuhp,158_spit,<tsuh-p spit-GR
kay,153_eat,
abujəʔəw,152_chew,
həʔʃajuʔump,196_cook,<?
uʔup,154_drink,
tsiʔitsk,156_suck,
taʔatsk,31_ear,
modoʔop,165_hear,<modoʔo-p ear-GR
wiʔin,29_eye,
ihʃp,164_see,<ihʃ-p see-GR
maʔagahp,157_yawn,<maʔa-kah-p sleep-yawn-GR
maʔap,160_sleep,<maʔa-p sleep-GR
kumaʔapʲ,159_dream,<ku-maʔa-pʲ head-sleep-GR
aɲaʔapʲ,143_sit,<aɲaʔa-pʲ sit-GR
tanaʔapʲ,142_stand,<tanaʔa-pʲ stand-GR
kraʔa,60_person,
heʃʲ,61_man,
kiʃʲ,62_woman,
miʃuʔuŋ,63_child,
►,67_husband,
►,68_wife,
►,65_mother,
►,66_father,
►,102_house,
►,64_name,
►,186_tieup,
►,174_sew,
►,104_needle,
►,197_shoot,
►,191_stab,
►,176_hit,
►,193_steal,
►,163_kill,
►,162_die,
►,161_live,
►,177_cut,
►,178_split,
►,119_sharp,
►,120_bluntdull,
►,198_work,
►,194_choose,
►,141_grow,
►,181_hold,
►,179_dig,
►,192_buy,
►,199_open,
►,144_fall,
►,47_dog,
►,48_bird,
►,56_egg,
►,58_wing,
►,149_flyverb,
►,53_rat,
►,90_meatflesh,
►,92_fatgrease,
►,50_snake,
►,51_worm,
►,52_louse,
►,55_mosquito,
►,49_fish,
►,128_rotten,
►,96_branch,
►,95_root,
►,100_flower,
►,93_fruit,
►,81_earthsoil,
►,80_stone,
►,83_sand,
►,74_water,
►,173_flow,
►,76_sea,
►,91_salt,
►,75_lake,
►,94_woodsforest,
►,73_sky,
►,71_moon,
►,72_star,
►,85_cloud,
►,87_fog,
►,84_rain,
►,88_thunder,
►,89_lightning,
►,86_wind,
►,171_blow,
►,133_warm,
►,134_cold,
►,135_dry,
►,136_wet,
►,130_heavy,
►,77_fire,
►,172_burn,
►,78_smoke,
►,79_ash,
►,106_black,
►,107_white,
►,108_red,
►,110_yellow,
►,112_small,
►,111_big,
►,114_short,
►,113_long,
►,116_thin,
►,115_thick,
►,117_narrow,
►,118_wide,
►,123_painfulsick,
►,121_shyashamed,
►,122_old,
►,137_new,
►,124_good,
►,125_bad,
►,70_night,
►,69_day,
►,5_year,
►,18_when,
►,151_hide,
►,147_climb,
►,25_ininside,
►,23_above,
►,20_this,
►,21_that,
►,132_near,
►,131_far,
►,17_where,
►,8_i,
►,11_yousg,
►,12_heshe,
►,10_weallincl,
►,9_weallexcl,
►,13_theyall,
►,15_what,
►,16_who,
►,138_other,
►,129_all,
►,14_nonot,
►,183_count,
►,1_one,
►,2_two,
►,3_three,
►,4_four,
