Tepantlali,English Translation,Comment
kəʔ,35_hand,
anaʔa,7_left,
agɒʔɒɲ,6_right,
puʔuj,39_leg,
joʔoj,140_walk,IMP
tuʔuʔ,105_roadpath,
it,139_come,IMP
koʔumbit,146_turn,IMP
nəwinaʔaʃʲ,148_swim,<nə-winaʔaʃ-j water-swim-GR 
aʃəʔək,127_dirty,
puʔuʃ,82_dust,
nʔak,42_skin,<n-ʔak  POSS1-skin 'my skin'
həʃk,38_back,
hoʔoht,43_belly,
pahk,41_bone,
tintʲ hoʔoht,44_intestines,<tintʲ intestines  hoʔoht belly 'belly's instestins'
tsiʔitsk,45_breast,
kehkʲ,36_shoulder,
nhatʲp,167_know,<n-hatʲ-p 1SG-know-GR 'I know' 
winmaj,168_think,<win-maj ?-think 'thinking'
tsehk,182_fear,
nəʔəhpʲ,40_blood,
►,27_head,
►,37_neck,
►,28_hair,
►,30_nose,
►,184_breathe,
►,166_sniffsmell,
►,32_mouth,
►,34_tooth,
►,33_tongue,
►,169_laugh,
►,170_cry,
►,185_vomit,
►,158_spit,
►,153_eat,
►,152_chew,
►,196_cook,
►,154_drink,
►,155_bite,
►,156_suck,
►,31_ear,
►,165_hear,
►,29_eye,
►,164_see,
►,160_sleep,
►,145_liedown,
►,159_dream,
►,143_sit,
►,142_stand,
►,60_person,
►,61_man,
►,62_woman,
►,63_child,
►,67_husband,
►,68_wife,
►,65_mother,
►,66_father,
►,102_house,
►,101_thatchroof,
►,64_name,
►,189_say,
►,103_rope,
►,186_tieup,
►,174_sew,
►,104_needle,
►,180_hunt,
►,197_shoot,
►,176_hit,
►,193_steal,
►,163_kill,
►,162_die,
►,161_live,
►,190_scratch,
►,177_cut,
►,98_wood,
►,120_bluntdull,
►,198_work,
►,195_plant,
►,194_choose,
►,141_grow,
►,187_squeeze,
►,181_hold,
►,179_dig,
►,192_buy,
►,199_open,
►,175_pound,
►,150_throw,
►,144_fall,
►,47_dog,
►,48_bird,
►,56_egg,
►,59_feather,
►,58_wing,
►,149_flyverb,
►,53_rat,
►,90_meatflesh,
►,92_fatgrease,
►,57_tail,
►,50_snake,
►,51_worm,
►,52_louse,
►,55_mosquito,
►,54_spider,
►,49_fish,
►,128_rotten,
►,96_branch,
►,97_leaf,
►,95_root,
►,93_fruit,
►,99_grass,
►,81_earthsoil,
►,80_stone,
►,83_sand,
►,74_water,
►,173_flow,
►,76_sea,
►,91_salt,
►,75_lake,
►,73_sky,
►,71_moon,
►,72_star,
►,85_cloud,
►,84_rain,
►,88_thunder,
►,89_lightning,
►,86_wind,
►,171_blow,
►,133_warm,
►,134_cold,
►,135_dry,
►,136_wet,
►,130_heavy,
►,77_fire,
►,172_burn,
►,78_smoke,
►,106_black,
►,107_white,
►,108_red,
►,110_yellow,
►,109_green,
►,112_small,
►,111_big,
►,114_short,
►,113_long,
►,116_thin,
►,115_thick,
►,117_narrow,
►,118_wide,
►,121_shyashamed,
►,122_old,
►,137_new,
►,124_good,
►,125_bad,
►,126_correcttrue,
►,70_night,
►,69_day,
►,5_year,
►,18_when,
►,151_hide,
►,147_climb,
►,26_at,
►,25_ininside,
►,23_above,
►,24_below,
►,20_this,
►,21_that,
►,132_near,
►,131_far,
►,17_where,
►,8_i,
►,11_yousg,
►,12_heshe,
►,10_weallincl,
►,9_weallexcl,
►,13_theyall,
►,15_what,
►,16_who,
►,138_other,
►,129_all,
►,19_how,
►,14_nonot,
►,183_count,
►,1_one,
►,2_two,
►,3_three,
►,4_four,
