Language_ID,Role,Contributor
Alotepec,ContributorRecordedBy1,Ana Kondić
Alotepec,ContributorSoundEditingBy,Darja Dërmaku-Appelganz
Ayutla,ContributorRecordedBy1,Ana Kondić
Ayutla,ContributorSoundEditingBy,Darja Dërmaku-Appelganz
Cacalotepec,ContributorRecordedBy1,Ana Kondić
Cacalotepec,ContributorSoundEditingBy,Darja Dërmaku-Appelganz
Chapultenangospkr1,ContributorRecordedBy1,Ana Kondić
Chapultenangospkr1,ContributorSoundEditingBy,Darja Dërmaku-Appelganz
Chapultenangospkr3,ContributorRecordedBy1,Ana Kondić
Chapultenangospkr3,ContributorSoundEditingBy,Darja Dërmaku-Appelganz
Cotzocon,ContributorRecordedBy1,Ana Kondić
Cotzocon,ContributorSoundEditingBy,Darja Dërmaku-Appelganz
Guichicovi,ContributorRecordedBy1,Ana Kondić
Guichicovi,ContributorSoundEditingBy,Darja Dërmaku-Appelganz
Juquila,ContributorRecordedBy1,Ana Kondić
Juquila,ContributorSoundEditingBy,Darja Dërmaku-Appelganz
Nizaviguiti,ContributorRecordedBy1,Ana Kondić
Nizaviguiti,ContributorSoundEditingBy,Darja Dërmaku-Appelganz
Ocotepec,ContributorRecordedBy1,Ana Kondić
Ocotepec,ContributorSoundEditingBy,Darja Dërmaku-Appelganz
Ocotepecspkr1,ContributorRecordedBy1,Ana Kondić
Ocotepecspkr1,ContributorSoundEditingBy,Darja Dërmaku-Appelganz
Pantepec,ContributorRecordedBy1,Ana Kondić
Pantepec,ContributorSoundEditingBy,Darja Dërmaku-Appelganz
Protomixe,ContributorReconstructionBy,Søren Wichmann
Protomixe,ContributorRecordedBy1,Ana Kondić
Protomixezoque,ContributorReconstructionBy,Søren Wichmann
Protomixezoque,ContributorRecordedBy1,Ana Kondić
Protooaxacamixe,ContributorReconstructionBy,Søren Wichmann
Protooaxacamixe,ContributorRecordedBy1,Ana Kondić
Puxmetacan,ContributorRecordedBy1,Ana Kondić
Puxmetacan,ContributorSoundEditingBy,Darja Dërmaku-Appelganz
Tamazulapam,ContributorRecordedBy1,Ana Kondić
Tamazulapam,ContributorSoundEditingBy,Darja Dërmaku-Appelganz
Tepantlali,ContributorRecordedBy1,Ana Kondić
Tepantlali,ContributorSoundEditingBy,Darja Dërmaku-Appelganz
Tlahuitoltepec,ContributorRecordedBy1,Ana Kondić
Tlahuitoltepec,ContributorSoundEditingBy,Darja Dërmaku-Appelganz
Totontepec,ContributorRecordedBy1,Ana Kondić
Totontepec,ContributorSoundEditingBy,Darja Dërmaku-Appelganz
Zacatepec,ContributorRecordedBy1,Ana Kondić
Zacatepec,ContributorSoundEditingBy,Darja Dërmaku-Appelganz
